jurisdiction,vaccine,week,first_dose,second_dose
District of Columbia,Moderna,2021-05-17,8320,8320
District of Columbia,Moderna,2021-05-24,8320,8320
District of Columbia,Moderna,2021-05-31,8120,8120
District of Columbia,Pfizer,2020-12-14,6825,6825
District of Columbia,Pfizer,2020-12-21,4875,4875
District of Columbia,Pfizer,2020-12-28,5850,5850
District of Columbia,Pfizer,2021-01-04,4875,4875
District of Columbia,Pfizer,2021-01-11,4875,4875
District of Columbia,Pfizer,2021-01-18,4875,4875
District of Columbia,Pfizer,2021-01-25,4875,4875
District of Columbia,Pfizer,2021-02-01,4875,4875
District of Columbia,Pfizer,2021-02-08,4875,4875
District of Columbia,Pfizer,2021-02-15,4875,4875
District of Columbia,Pfizer,2021-02-22,8190,8190
District of Columbia,Pfizer,2021-03-01,9360,9360
District of Columbia,Pfizer,2021-03-08,9360,9360
District of Columbia,Pfizer,2021-03-15,10530,10530
District of Columbia,Pfizer,2021-03-22,10530,10530
District of Columbia,Pfizer,2021-03-29,12870,12870
District of Columbia,Pfizer,2021-04-05,10530,10530
District of Columbia,Pfizer,2021-04-12,10530,10530
District of Columbia,Pfizer,2021-04-19,11700,11700
District of Columbia,Pfizer,2021-04-26,11700,11700
District of Columbia,Pfizer,2021-05-03,11700,11700
District of Columbia,Pfizer,2021-05-10,11700,11700
District of Columbia,Pfizer,2021-05-17,11700,11700
District of Columbia,Pfizer,2021-05-24,11700,11700
District of Columbia,Pfizer,2021-05-31,11520,11520
Federal Entities,Janssen,2021-03-01,139200,NA
Federal Entities,Janssen,2021-03-15,120500,NA
Federal Entities,Janssen,2021-03-22,16700,NA
Federal Entities,Janssen,2021-03-29,16700,NA
Federal Entities,Janssen,2021-04-05,84600,NA
Federal Entities,Janssen,2021-04-12,129600,NA
Federal Entities,Janssen,2021-05-03,25700,NA
Federal Entities,Janssen,2021-05-10,33200,NA
Federal Entities,Moderna,2020-12-21,298200,289200
Federal Entities,Moderna,2020-12-28,100000,100000
Federal Entities,Moderna,2021-01-04,108400,99600
Federal Entities,Moderna,2021-01-11,99900,99900
Federal Entities,Moderna,2021-01-18,105000,105000
Federal Entities,Moderna,2021-01-25,105300,105300
Federal Entities,Moderna,2021-02-01,151180,151800
Federal Entities,Moderna,2021-02-08,481400,481400
Federal Entities,Moderna,2021-02-15,163500,163500
Federal Entities,Moderna,2021-02-22,163500,163500
Federal Entities,Moderna,2021-03-01,180500,163500
Federal Entities,Moderna,2021-03-08,197900,193500
Federal Entities,Moderna,2021-03-15,143000,143000
Federal Entities,Moderna,2021-03-22,143000,143000
Federal Entities,Moderna,2021-03-29,143000,143000
Federal Entities,Moderna,2021-04-05,143000,143000
Federal Entities,Moderna,2021-04-12,149400,149400
Federal Entities,Moderna,2021-04-19,149400,149400
Federal Entities,Moderna,2021-04-26,161100,161100
Federal Entities,Moderna,2021-05-03,161100,161100
Federal Entities,Moderna,2021-05-10,161100,161100
Federal Entities,Moderna,2021-05-17,164900,164900
Federal Entities,Moderna,2021-05-24,164800,164800
Federal Entities,Moderna,2021-05-31,164800,164800
Federal Entities,Pfizer,2020-12-14,156000,142350
Federal Entities,Pfizer,2020-12-21,102375,102375
Federal Entities,Pfizer,2020-12-28,128700,128700
Federal Entities,Pfizer,2021-01-04,117000,101400
Federal Entities,Pfizer,2021-01-11,102375,102375
Federal Entities,Pfizer,2021-01-18,105300,105300
Federal Entities,Pfizer,2021-01-25,105300,105300
Federal Entities,Pfizer,2021-02-01,119925,104325
Federal Entities,Pfizer,2021-02-08,105300,105300
Federal Entities,Pfizer,2021-02-15,105300,105300
Federal Entities,Pfizer,2021-02-22,166140,166140
Federal Entities,Pfizer,2021-03-01,209430,190710
Federal Entities,Pfizer,2021-03-08,230490,221130
Federal Entities,Pfizer,2021-03-15,182520,182520
Federal Entities,Pfizer,2021-03-22,195390,195390
Federal Entities,Pfizer,2021-03-29,201240,201240
Federal Entities,Pfizer,2021-04-05,243360,243360
Federal Entities,Pfizer,2021-04-12,201240,201240
Federal Entities,Pfizer,2021-04-19,203580,203580
Federal Entities,Pfizer,2021-04-26,218790,218790
Federal Entities,Pfizer,2021-05-03,218790,218790
Federal Entities,Pfizer,2021-05-10,218790,218790
Federal Entities,Pfizer,2021-05-17,218790,218790
Federal Entities,Pfizer,2021-05-24,218790,218790
Federal Entities,Pfizer,2021-05-31,218790,218790
Florida,Janssen,2021-03-01,175100,NA
Florida,Janssen,2021-03-15,24100,NA
Florida,Janssen,2021-03-22,24100,NA
Florida,Janssen,2021-03-29,122900,NA
Florida,Janssen,2021-04-05,313200,NA
Florida,Janssen,2021-04-12,37000,NA
Florida,Janssen,2021-05-03,48100,NA
Florida,Janssen,2021-05-10,37000,NA
Florida,Moderna,2020-12-21,367900,367900
Florida,Moderna,2020-12-28,127100,127100
Florida,Moderna,2021-01-04,126600,126600
Florida,Moderna,2021-01-11,127100,127100
Florida,Moderna,2021-01-18,133500,133500
Florida,Moderna,2021-01-25,133500,133500
Florida,Moderna,2021-02-01,176100,176100
Florida,Moderna,2021-02-08,192500,192500
Florida,Moderna,2021-02-15,208000,208000
Florida,Moderna,2021-02-22,208000,208000
Florida,Moderna,2021-03-01,208000,208000
Florida,Moderna,2021-03-08,208000,208000
Florida,Moderna,2021-03-15,208000,208000
Florida,Moderna,2021-03-22,208000,208000
Florida,Moderna,2021-03-29,208000,208000
Florida,Moderna,2021-04-05,217400,217400
Florida,Moderna,2021-04-12,217400,217400
Florida,Moderna,2021-04-19,234500,234500
Florida,Moderna,2021-04-26,234500,234500
Florida,Moderna,2021-05-03,234500,234500
Florida,Moderna,2021-05-10,239700,239700
Florida,Moderna,2021-05-17,239560,239560
Florida,Moderna,2021-05-24,239560,239560
Florida,Moderna,2021-05-31,234360,234360
Florida,Pfizer,2020-12-14,179400,179400
Florida,Pfizer,2020-12-21,127725,127725
Florida,Pfizer,2020-12-28,162825,162825
Florida,Pfizer,2021-01-04,126750,126750
Florida,Pfizer,2021-01-11,127725,127725
Florida,Pfizer,2021-01-18,132600,132600
Florida,Pfizer,2021-01-25,132600,132600
Florida,Pfizer,2021-02-01,131625,131625
Florida,Pfizer,2021-02-08,132600,132600
Florida,Pfizer,2021-02-15,132600,132600
Florida,Pfizer,2021-02-22,209430,209430
Florida,Pfizer,2021-03-01,239850,239850
Florida,Pfizer,2021-03-08,262080,262080
Florida,Pfizer,2021-03-15,281970,281970
Florida,Pfizer,2021-03-22,286650,286650
Florida,Pfizer,2021-03-29,352170,352170
Florida,Pfizer,2021-04-05,286650,286650
Florida,Pfizer,2021-04-12,293670,293670
Florida,Pfizer,2021-04-19,314730,314730
Florida,Pfizer,2021-04-26,314730,314730
Florida,Pfizer,2021-05-03,314730,314730
Florida,Pfizer,2021-05-10,314730,314730
Florida,Pfizer,2021-05-17,314730,314730
Florida,Pfizer,2021-05-24,314730,314730
Florida,Pfizer,2021-05-31,314640,314640
Georgia,Janssen,2021-03-01,83000,NA
Georgia,Janssen,2021-03-15,11500,NA
Georgia,Janssen,2021-03-22,11500,NA
Georgia,Janssen,2021-03-29,58400,NA
Georgia,Janssen,2021-04-05,148500,NA
Georgia,Janssen,2021-04-12,17600,NA
Georgia,Janssen,2021-05-03,22800,NA
Georgia,Janssen,2021-05-10,17600,NA
Georgia,Moderna,2020-12-21,174400,174400
Georgia,Moderna,2020-12-28,60200,60200
Georgia,Moderna,2021-01-04,60000,60000
Georgia,Moderna,2021-01-11,60200,60200
Georgia,Moderna,2021-01-18,63300,63300
Georgia,Moderna,2021-01-25,63300,63300
Georgia,Moderna,2021-02-01,83500,83500
Georgia,Moderna,2021-02-08,91300,91300
Georgia,Moderna,2021-02-15,98600,98600
Georgia,Moderna,2021-02-22,98600,98600
Georgia,Moderna,2021-03-01,98600,98600
Georgia,Moderna,2021-03-08,98600,98600
Georgia,Moderna,2021-03-15,98600,98600
Georgia,Moderna,2021-03-22,98600,98600
Georgia,Moderna,2021-03-29,98600,98600
Georgia,Moderna,2021-04-05,103000,103000
Georgia,Moderna,2021-04-12,103000,103000
Georgia,Moderna,2021-04-19,111100,111100
Georgia,Moderna,2021-04-26,111100,111100
Georgia,Moderna,2021-05-03,111100,111100
Georgia,Moderna,2021-05-10,113600,113600
Georgia,Moderna,2021-05-17,113660,113660
Georgia,Moderna,2021-05-24,113660,113660
Georgia,Moderna,2021-05-31,111160,111160
Georgia,Pfizer,2020-12-14,84825,84825
Georgia,Pfizer,2020-12-21,60450,60450
Georgia,Pfizer,2020-12-28,77025,77025
Georgia,Pfizer,2021-01-04,60450,60450
Georgia,Pfizer,2021-01-11,60450,60450
Georgia,Pfizer,2021-01-18,63375,63375
Georgia,Pfizer,2021-01-25,63375,63375
Georgia,Pfizer,2021-02-01,62400,62400
Georgia,Pfizer,2021-02-08,63375,63375
Georgia,Pfizer,2021-02-15,63375,63375
Georgia,Pfizer,2021-02-22,99450,99450
Georgia,Pfizer,2021-03-01,114660,114660
Georgia,Pfizer,2021-03-08,125190,125190
Georgia,Pfizer,2021-03-15,134550,134550
Georgia,Pfizer,2021-03-22,136890,136890
Georgia,Pfizer,2021-03-29,167310,167310
Georgia,Pfizer,2021-04-05,136890,136890
Georgia,Pfizer,2021-04-12,139230,139230
Georgia,Pfizer,2021-04-19,149760,149760
Georgia,Pfizer,2021-04-26,149760,149760
Georgia,Pfizer,2021-05-03,149760,149760
Georgia,Pfizer,2021-05-10,149760,149760
Georgia,Pfizer,2021-05-17,149760,149760
Georgia,Pfizer,2021-05-24,149760,149760
Georgia,Pfizer,2021-05-31,149490,149490
Guam,Janssen,2021-03-01,1300,NA
Guam,Janssen,2021-03-15,200,NA
Guam,Janssen,2021-03-22,200,NA
Guam,Janssen,2021-03-29,900,NA
Guam,Janssen,2021-04-05,16900,NA
Guam,Janssen,2021-04-12,0,NA
Guam,Janssen,2021-05-03,0,NA
Guam,Janssen,2021-05-10,0,NA
Guam,Moderna,2020-12-21,7600,0
Guam,Moderna,2020-12-28,0,0
Guam,Moderna,2021-01-04,7200,0
Guam,Moderna,2021-01-11,0,0
Guam,Moderna,2021-01-18,0,0
Guam,Moderna,2021-01-25,0,0
Guam,Moderna,2021-02-01,9200,0
Guam,Moderna,2021-02-08,0,0
Guam,Moderna,2021-02-15,0,0
Guam,Moderna,2021-02-22,0,0
Guam,Moderna,2021-03-01,14200,0
Guam,Moderna,2021-03-08,0,0
Guam,Moderna,2021-03-15,0,0
Guam,Moderna,2021-03-22,0,0
Guam,Moderna,2021-03-29,15000,0
Guam,Moderna,2021-04-05,0,0
Guam,Moderna,2021-04-12,0,0
Guam,Moderna,2021-04-19,0,0
Guam,Moderna,2021-04-26,0,0
Guam,Moderna,2021-05-03,0,0
Guam,Moderna,2021-05-10,0,0
Guam,Moderna,2021-05-17,0,0
Guam,Moderna,2021-05-24,0,0
Guam,Moderna,2021-05-31,0,0
Guam,Pfizer,2020-12-14,11700,0
Guam,Pfizer,2020-12-21,0,0
Guam,Pfizer,2020-12-28,0,0
Guam,Pfizer,2021-01-04,7800,0
Guam,Pfizer,2021-01-11,0,0
Guam,Pfizer,2021-01-18,0,0
Guam,Pfizer,2021-01-25,0,0
Guam,Pfizer,2021-02-01,7800,0
Guam,Pfizer,2021-02-08,0,0
Guam,Pfizer,2021-02-15,0,0
Guam,Pfizer,2021-02-22,0,0
Guam,Pfizer,2021-03-01,21060,0
Guam,Pfizer,2021-03-08,0,0
Guam,Pfizer,2021-03-15,0,0
Guam,Pfizer,2021-03-22,0,0
Guam,Pfizer,2021-03-29,25740,0
Guam,Pfizer,2021-04-05,0,0
Guam,Pfizer,2021-04-12,0,0
Guam,Pfizer,2021-04-19,0,0
Guam,Pfizer,2021-04-26,0,0
Guam,Pfizer,2021-05-03,0,0
Guam,Pfizer,2021-05-10,0,0
Guam,Pfizer,2021-05-17,0,0
Guam,Pfizer,2021-05-24,0,0
Guam,Pfizer,2021-05-31,0,0
Hawaii,Janssen,2021-03-01,11900,NA
Hawaii,Janssen,2021-03-15,1700,NA
Hawaii,Janssen,2021-03-22,1700,NA
Hawaii,Janssen,2021-03-29,8400,NA
Hawaii,Janssen,2021-04-05,21300,NA
Hawaii,Janssen,2021-04-12,2600,NA
Hawaii,Janssen,2021-05-03,3300,NA
Hawaii,Janssen,2021-05-10,2600,NA
Hawaii,Moderna,2020-12-21,25000,25000
Hawaii,Moderna,2020-12-28,8700,8700
Hawaii,Moderna,2021-01-04,8600,8600
Hawaii,Moderna,2021-01-11,8700,8700
Hawaii,Moderna,2021-01-18,9100,9100
Hawaii,Moderna,2021-01-25,9100,9100
Hawaii,Moderna,2021-02-01,12000,12000
Hawaii,Moderna,2021-02-08,13100,13100
Hawaii,Moderna,2021-02-15,14200,14200
Hawaii,Moderna,2021-02-22,14200,14200
Hawaii,Moderna,2021-03-01,14200,14200
Hawaii,Moderna,2021-03-08,14200,14200
Hawaii,Moderna,2021-03-15,14200,14200
Hawaii,Moderna,2021-03-22,14200,14200
Hawaii,Moderna,2021-03-29,14200,14200
Hawaii,Moderna,2021-04-05,14800,14800
Hawaii,Moderna,2021-04-12,14800,14800
Hawaii,Moderna,2021-04-19,15900,15900
Hawaii,Moderna,2021-04-26,15900,15900
Hawaii,Moderna,2021-05-03,15900,15900
Hawaii,Moderna,2021-05-10,16300,16300
Hawaii,Moderna,2021-05-17,16360,16360
Hawaii,Moderna,2021-05-24,16360,16360
Hawaii,Moderna,2021-05-31,15960,15960
Hawaii,Pfizer,2020-12-14,12675,12675
Hawaii,Pfizer,2020-12-21,8775,8775
Hawaii,Pfizer,2020-12-28,11700,11700
Hawaii,Pfizer,2021-01-04,8775,8775
Hawaii,Pfizer,2021-01-11,8775,8775
Hawaii,Pfizer,2021-01-18,9750,9750
Hawaii,Pfizer,2021-01-25,9750,9750
Hawaii,Pfizer,2021-02-01,9750,9750
Hawaii,Pfizer,2021-02-08,9750,9750
Hawaii,Pfizer,2021-02-15,9750,9750
Hawaii,Pfizer,2021-02-22,15210,15210
Hawaii,Pfizer,2021-03-01,16380,16380
Hawaii,Pfizer,2021-03-08,18720,18720
Hawaii,Pfizer,2021-03-15,19890,19890
Hawaii,Pfizer,2021-03-22,19890,19890
Hawaii,Pfizer,2021-03-29,24570,24570
Hawaii,Pfizer,2021-04-05,19890,19890
Hawaii,Pfizer,2021-04-12,19890,19890
Hawaii,Pfizer,2021-04-19,22230,22230
Hawaii,Pfizer,2021-04-26,22230,22230
Hawaii,Pfizer,2021-05-03,22230,22230
Hawaii,Pfizer,2021-05-10,22230,22230
Hawaii,Pfizer,2021-05-17,22230,22230
Hawaii,Pfizer,2021-05-24,22230,22230
Hawaii,Pfizer,2021-05-31,22590,22590
Idaho,Janssen,2021-03-01,13300,NA
Idaho,Janssen,2021-03-15,1900,NA
Idaho,Janssen,2021-03-22,1900,NA
Idaho,Janssen,2021-03-29,9500,NA
Idaho,Janssen,2021-04-05,23800,NA
Idaho,Janssen,2021-04-12,2900,NA
Idaho,Janssen,2021-05-03,3700,NA
Idaho,Janssen,2021-05-10,2900,NA
Idaho,Moderna,2020-12-21,28000,28000
Idaho,Moderna,2020-12-28,9700,9700
Idaho,Moderna,2021-01-04,9700,9700
Idaho,Moderna,2021-01-11,9700,9700
Idaho,Moderna,2021-01-18,10200,10200
Idaho,Moderna,2021-01-25,10200,10200
Idaho,Moderna,2021-02-01,13400,13400
Idaho,Moderna,2021-02-08,14700,14700
Idaho,Moderna,2021-02-15,15800,15800
Idaho,Moderna,2021-02-22,15800,15800
Idaho,Moderna,2021-03-01,15800,15800
Idaho,Moderna,2021-03-08,15800,15800
Idaho,Moderna,2021-03-15,15800,15800
Idaho,Moderna,2021-03-22,15800,15800
Idaho,Moderna,2021-03-29,15800,15800
Idaho,Moderna,2021-04-05,16600,16600
Idaho,Moderna,2021-04-12,16600,16600
Idaho,Moderna,2021-04-19,17800,17800
Idaho,Moderna,2021-04-26,17800,17800
Idaho,Moderna,2021-05-03,17800,17800
Idaho,Moderna,2021-05-10,18200,18200
Idaho,Moderna,2021-05-17,18320,18320
Idaho,Moderna,2021-05-24,18320,18320
Idaho,Moderna,2021-05-31,17920,17920
Idaho,Pfizer,2020-12-14,13650,13650
Idaho,Pfizer,2020-12-21,9750,9750
Idaho,Pfizer,2020-12-28,12675,12675
Idaho,Pfizer,2021-01-04,9750,9750
Idaho,Pfizer,2021-01-11,9750,9750
Idaho,Pfizer,2021-01-18,10725,10725
Idaho,Pfizer,2021-01-25,10725,10725
Idaho,Pfizer,2021-02-01,10725,10725
Idaho,Pfizer,2021-02-08,10725,10725
Idaho,Pfizer,2021-02-15,10725,10725
Idaho,Pfizer,2021-02-22,16380,16380
Idaho,Pfizer,2021-03-01,18720,18720
Idaho,Pfizer,2021-03-08,19890,19890
Idaho,Pfizer,2021-03-15,22230,22230
Idaho,Pfizer,2021-03-22,22230,22230
Idaho,Pfizer,2021-03-29,26910,26910
Idaho,Pfizer,2021-04-05,22230,22230
Idaho,Pfizer,2021-04-12,23400,23400
Idaho,Pfizer,2021-04-19,24570,24570
Idaho,Pfizer,2021-04-26,24570,24570
Idaho,Pfizer,2021-05-03,24570,24570
Idaho,Pfizer,2021-05-10,24570,24570
Idaho,Pfizer,2021-05-17,24570,24570
Idaho,Pfizer,2021-05-24,24570,24570
Idaho,Pfizer,2021-05-31,25110,25110
Illinois,Janssen,2021-03-01,83100,NA
Illinois,Janssen,2021-03-15,11500,NA
Illinois,Janssen,2021-03-22,11500,NA
Illinois,Janssen,2021-03-29,58400,NA
Illinois,Janssen,2021-04-05,148600,NA
Illinois,Janssen,2021-04-12,17600,NA
Illinois,Janssen,2021-05-03,22800,NA
Illinois,Janssen,2021-05-10,17600,NA
Illinois,Moderna,2020-12-21,174600,174600
Illinois,Moderna,2020-12-28,60300,60300
Illinois,Moderna,2021-01-04,60100,60100
Illinois,Moderna,2021-01-11,60300,60300
Illinois,Moderna,2021-01-18,63300,63300
Illinois,Moderna,2021-01-25,63300,63300
Illinois,Moderna,2021-02-01,83600,83600
Illinois,Moderna,2021-02-08,91300,91300
Illinois,Moderna,2021-02-15,98700,98700
Illinois,Moderna,2021-02-22,98700,98700
Illinois,Moderna,2021-03-01,98700,98700
Illinois,Moderna,2021-03-08,98700,98700
Illinois,Moderna,2021-03-15,98700,98700
Illinois,Moderna,2021-03-22,98700,98700
Illinois,Moderna,2021-03-29,98700,98700
Illinois,Moderna,2021-04-05,103100,103100
Illinois,Moderna,2021-04-12,103100,103100
Illinois,Moderna,2021-04-19,111300,111300
Illinois,Moderna,2021-04-26,111300,111300
Illinois,Moderna,2021-05-03,111300,111300
Illinois,Moderna,2021-05-10,113800,113800
Illinois,Moderna,2021-05-17,113660,113660
Illinois,Moderna,2021-05-24,113660,113660
Illinois,Moderna,2021-05-31,111160,111160
Illinois,Pfizer,2020-12-14,85800,85800
Illinois,Pfizer,2020-12-21,60450,60450
Illinois,Pfizer,2020-12-28,78000,78000
Illinois,Pfizer,2021-01-04,60450,60450
Illinois,Pfizer,2021-01-11,60450,60450
Illinois,Pfizer,2021-01-18,63375,63375
Illinois,Pfizer,2021-01-25,63375,63375
Illinois,Pfizer,2021-02-01,62400,62400
Illinois,Pfizer,2021-02-08,63375,63375
Illinois,Pfizer,2021-02-15,63375,63375
Illinois,Pfizer,2021-02-22,99450,99450
Illinois,Pfizer,2021-03-01,114660,114660
Illinois,Pfizer,2021-03-08,125190,125190
Illinois,Pfizer,2021-03-15,134550,134550
Illinois,Pfizer,2021-03-22,136890,136890
Illinois,Pfizer,2021-03-29,167310,167310
Illinois,Pfizer,2021-04-05,136890,136890
Illinois,Pfizer,2021-04-12,139230,139230
Illinois,Pfizer,2021-04-19,149760,149760
Illinois,Pfizer,2021-04-26,149760,149760
Illinois,Pfizer,2021-05-03,149760,149760
Illinois,Pfizer,2021-05-10,149760,149760
Illinois,Pfizer,2021-05-17,149760,149760
Illinois,Pfizer,2021-05-24,149760,149760
Illinois,Pfizer,2021-05-31,149490,149490
Indiana,Janssen,2021-03-01,53900,NA
Indiana,Janssen,2021-03-15,7500,NA
Indiana,Janssen,2021-03-22,7500,NA
Indiana,Janssen,2021-03-29,38000,NA
Indiana,Janssen,2021-04-05,96500,NA
Indiana,Janssen,2021-04-12,11400,NA
Indiana,Janssen,2021-05-03,14800,NA
Indiana,Janssen,2021-05-10,11400,NA
Indiana,Moderna,2020-12-21,113300,113300
Indiana,Moderna,2020-12-28,39200,39200
Indiana,Moderna,2021-01-04,39000,39000
Indiana,Moderna,2021-01-11,39200,39200
Indiana,Moderna,2021-01-18,41100,41100
Indiana,Moderna,2021-01-25,41100,41100
Indiana,Moderna,2021-02-01,54300,54300
Indiana,Moderna,2021-02-08,59300,59300
Indiana,Moderna,2021-02-15,64100,64100
Indiana,Moderna,2021-02-22,64100,64100
Indiana,Moderna,2021-03-01,64100,64100
Indiana,Moderna,2021-03-08,64100,64100
Indiana,Moderna,2021-03-15,64100,64100
Indiana,Moderna,2021-03-22,64100,64100
Indiana,Moderna,2021-03-29,64100,64100
Indiana,Moderna,2021-04-05,66900,66900
Indiana,Moderna,2021-04-12,66900,66900
Indiana,Moderna,2021-04-19,72200,72200
Indiana,Moderna,2021-04-26,72200,72200
Indiana,Moderna,2021-05-03,72200,72200
Indiana,Moderna,2021-05-10,73800,73800
Indiana,Moderna,2021-05-17,73840,73840
Indiana,Moderna,2021-05-24,73840,73840
Indiana,Moderna,2021-05-31,72240,72240
Indiana,Pfizer,2020-12-14,55575,55575
Indiana,Pfizer,2020-12-21,39975,39975
Indiana,Pfizer,2020-12-28,50700,50700
Indiana,Pfizer,2021-01-04,39000,39000
Indiana,Pfizer,2021-01-11,39975,39975
Indiana,Pfizer,2021-01-18,40950,40950
Indiana,Pfizer,2021-01-25,40950,40950
Indiana,Pfizer,2021-02-01,40950,40950
Indiana,Pfizer,2021-02-08,40950,40950
Indiana,Pfizer,2021-02-15,40950,40950
Indiana,Pfizer,2021-02-22,64350,64350
Indiana,Pfizer,2021-03-01,74880,74880
Indiana,Pfizer,2021-03-08,80730,80730
Indiana,Pfizer,2021-03-15,87750,87750
Indiana,Pfizer,2021-03-22,88920,88920
Indiana,Pfizer,2021-03-29,108810,108810
Indiana,Pfizer,2021-04-05,88920,88920
Indiana,Pfizer,2021-04-12,91260,91260
Indiana,Pfizer,2021-04-19,97110,97110
Indiana,Pfizer,2021-04-26,97110,97110
Indiana,Pfizer,2021-05-03,97110,97110
Indiana,Pfizer,2021-05-10,97110,97110
Indiana,Pfizer,2021-05-17,97110,97110
Indiana,Pfizer,2021-05-24,97110,97110
Indiana,Pfizer,2021-05-31,97200,97200
Iowa,Janssen,2021-03-01,25600,NA
Iowa,Janssen,2021-03-15,3600,NA
Iowa,Janssen,2021-03-22,3600,NA
Iowa,Janssen,2021-03-29,18100,NA
Iowa,Janssen,2021-04-05,45800,NA
Iowa,Janssen,2021-04-12,5400,NA
Iowa,Janssen,2021-05-03,7100,NA
Iowa,Janssen,2021-05-10,5500,NA
Iowa,Moderna,2020-12-21,53800,53800
Iowa,Moderna,2020-12-28,18600,18600
Iowa,Moderna,2021-01-04,18500,18500
Iowa,Moderna,2021-01-11,18600,18600
Iowa,Moderna,2021-01-18,19500,19500
Iowa,Moderna,2021-01-25,19500,19500
Iowa,Moderna,2021-02-01,25800,25800
Iowa,Moderna,2021-02-08,28200,28200
Iowa,Moderna,2021-02-15,30400,30400
Iowa,Moderna,2021-02-22,30400,30400
Iowa,Moderna,2021-03-01,30400,30400
Iowa,Moderna,2021-03-08,30400,30400
Iowa,Moderna,2021-03-15,30400,30400
Iowa,Moderna,2021-03-22,30400,30400
Iowa,Moderna,2021-03-29,30400,30400
Iowa,Moderna,2021-04-05,31800,31800
Iowa,Moderna,2021-04-12,31800,31800
Iowa,Moderna,2021-04-19,34300,34300
Iowa,Moderna,2021-04-26,34300,34300
Iowa,Moderna,2021-05-03,34300,34300
Iowa,Moderna,2021-05-10,35100,35100
Iowa,Moderna,2021-05-17,35100,35100
Iowa,Moderna,2021-05-24,35100,35100
Iowa,Moderna,2021-05-31,34300,34300
Iowa,Pfizer,2020-12-14,26325,26325
Iowa,Pfizer,2020-12-21,19500,19500
Iowa,Pfizer,2020-12-28,24375,24375
Iowa,Pfizer,2021-01-04,18525,18525
Iowa,Pfizer,2021-01-11,19500,19500
Iowa,Pfizer,2021-01-18,19500,19500
Iowa,Pfizer,2021-01-25,19500,19500
Iowa,Pfizer,2021-02-01,19500,19500
Iowa,Pfizer,2021-02-08,19500,19500
Iowa,Pfizer,2021-02-15,19500,19500
Iowa,Pfizer,2021-02-22,31590,31590
Iowa,Pfizer,2021-03-01,35100,35100
Iowa,Pfizer,2021-03-08,38610,38610
Iowa,Pfizer,2021-03-15,42120,42120
Iowa,Pfizer,2021-03-22,42120,42120
Iowa,Pfizer,2021-03-29,51480,51480
Iowa,Pfizer,2021-04-05,42120,42120
Iowa,Pfizer,2021-04-12,43290,43290
Iowa,Pfizer,2021-04-19,46800,46800
Iowa,Pfizer,2021-04-26,46800,46800
Iowa,Pfizer,2021-05-03,46800,46800
Iowa,Pfizer,2021-05-10,46800,46800
Iowa,Pfizer,2021-05-17,46800,46800
Iowa,Pfizer,2021-05-24,46800,46800
Iowa,Pfizer,2021-05-31,46530,46530
Kansas,Janssen,2021-03-01,23400,NA
Kansas,Janssen,2021-03-15,3300,NA
Kansas,Janssen,2021-03-22,3300,NA
Kansas,Janssen,2021-03-29,16500,NA
Kansas,Janssen,2021-04-05,41800,NA
Kansas,Janssen,2021-04-12,5000,NA
Kansas,Janssen,2021-05-03,6400,NA
Kansas,Janssen,2021-05-10,5000,NA
Kansas,Moderna,2020-12-21,49100,49100
Kansas,Moderna,2020-12-28,17000,17000
Kansas,Moderna,2021-01-04,16900,16900
Kansas,Moderna,2021-01-11,17000,17000
Kansas,Moderna,2021-01-18,17800,17800
Kansas,Moderna,2021-01-25,17800,17800
Kansas,Moderna,2021-02-01,23500,23500
Kansas,Moderna,2021-02-08,25700,25700
Kansas,Moderna,2021-02-15,27800,27800
Kansas,Moderna,2021-02-22,27800,27800
Kansas,Moderna,2021-03-01,27800,27800
Kansas,Moderna,2021-03-08,27800,27800
Kansas,Moderna,2021-03-15,27800,27800
Kansas,Moderna,2021-03-22,27800,27800
Kansas,Moderna,2021-03-29,27800,27800
Kansas,Moderna,2021-04-05,29000,29000
Kansas,Moderna,2021-04-12,29000,29000
Kansas,Moderna,2021-04-19,31300,31300
Kansas,Moderna,2021-04-26,31300,31300
Kansas,Moderna,2021-05-03,31300,31300
Kansas,Moderna,2021-05-10,32000,32000
Kansas,Moderna,2021-05-17,32060,32060
Kansas,Moderna,2021-05-24,32060,32060
Kansas,Moderna,2021-05-31,31360,31360
Kansas,Pfizer,2020-12-14,24375,24375
Kansas,Pfizer,2020-12-21,17550,17550
Kansas,Pfizer,2020-12-28,22425,22425
Kansas,Pfizer,2021-01-04,17550,17550
Kansas,Pfizer,2021-01-11,17550,17550
Kansas,Pfizer,2021-01-18,18525,18525
Kansas,Pfizer,2021-01-25,18525,18525
Kansas,Pfizer,2021-02-01,17550,17550
Kansas,Pfizer,2021-02-08,18525,18525
Kansas,Pfizer,2021-02-15,18525,18525
Kansas,Pfizer,2021-02-22,28080,28080
Kansas,Pfizer,2021-03-01,32760,32760
Kansas,Pfizer,2021-03-08,35100,35100
Kansas,Pfizer,2021-03-15,38610,38610
Kansas,Pfizer,2021-03-22,38610,38610
Kansas,Pfizer,2021-03-29,47970,47970
Kansas,Pfizer,2021-04-05,38610,38610
Kansas,Pfizer,2021-04-12,39780,39780
Kansas,Pfizer,2021-04-19,42120,42120
Kansas,Pfizer,2021-04-26,42120,42120
Kansas,Pfizer,2021-05-03,42120,42120
Kansas,Pfizer,2021-05-10,42120,42120
